選挙年,届出番号,前回届出番号,候補者名,新聞表記_姓,新聞表記_名,党派,現元新,得票数,前回得票数,当落,新聞当選回数,新聞年齢,定数,推薦_連合,
2021,11,.,永田 せいじ,永田,誠治,無所属,新,784,.,1,？,70,18,？,
2021,12,.,そえだ 悦子,副田,悦子,公明党,新,"1,538",.,1,？,58,18,？,
2021,13,15,森 すなお,森,淳,無所属,現,815,897,1,？,64,18,？,
2021,14,11,上野 けんすけ,上野,顕介,自由民主党,現,"1,529",1171,1,？,48,18,？,
2021,15,18,あわづ ひろみ,粟津,寛三,無所属,元,633,532,0,？,61,18,？,
2021,16,.,かわなみ 忠臣,川波,忠臣,日本共産党,新,682,.,1,？,37,18,？,
2021,17,.,柴田 栄一,柴田,栄一,無所属,新,"1,311",.,1,？,52,18,？,
2021,18,7,望月 たかし,望月,卓,無所属,現,691,906,1,？,75,18,？,
2021,19,12,すがぬま 利紀,菅沼,利紀,自由民主党,現,"1,167",2622,1,？,44,18,？,
2021,20,21,奥村 みきお,奥村,幹郎,立憲民主党,現,824,866,1,？,59,18,？,
2021,21,.,曽我部 一帆,曽我部,一帆,無所属,新,348,.,0,？,32,18,？,
